epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5563,1.73808,2.78164,1.95763,0.00333,1,0.13783,0.05269,1.3884,3.7341,1.97428,0.0001,0.0001,0.0001
2,52.8718,1.51332,2.45615,1.71054,0.00333,1,0.05903,0.02397,1.70636,3.80333,1.94776,0.000217822,0.000217822,0.000217822
3,75.6925,1.64757,2.27048,1.80016,0.00167,0.5,0.49543,0.26434,1.79285,3.67705,2.34529,0.000333268,0.000333268,0.000333268
4,97.6872,1.53118,2.41371,1.79686,0.00167,0.5,0.49543,0.2808,1.99534,3.84894,2.85769,0.000446338,0.000446338,0.000446338
5,120.539,1.382,1.99177,1.6586,0.00167,0.5,0.49543,0.39634,1.60108,3.49977,2.31142,0.000557032,0.000557032,0.000557032
6,142.326,1.46426,1.86472,1.68811,0.44034,0.5,0.49543,0.3468,2.39101,3.41142,3.0479,0.00066535,0.00066535,0.00066535
7,164.444,1.31978,1.97666,1.6206,0.00167,0.5,0.04167,0.01667,3.0426,4.84299,5.0545,0.000771292,0.000771292,0.000771292
8,187.728,1.54175,1.8422,1.83006,0.00167,0.5,0.08292,0.02488,2.94952,4.28655,4.07765,0.000874858,0.000874858,0.000874858
9,214.246,1.56036,1.89728,1.68141,0.19208,0.5,0.16542,0.04963,3.10827,3.98588,3.96086,0.000976048,0.000976048,0.000976048
10,241.153,1.53528,2.03239,1.74648,0.42865,0.5,0.57833,0.21475,2.62657,3.14921,4.0123,0.00107486,0.00107486,0.00107486
11,266.031,1.4787,1.67236,1.61163,0.23681,1,0.41417,0.1562,2.17498,3.11461,3.52416,0.0011713,0.0011713,0.0011713
12,289.248,1.54738,2.53028,1.70084,0.59362,0.5,0.49543,0.24124,2.50191,3.40111,3.54735,0.00126536,0.00126536,0.00126536
13,311.753,1.4719,1.64203,1.67419,0.70624,0.5,0.51087,0.05191,3.2113,4.9152,4.95029,0.00135705,0.00135705,0.00135705
14,333.633,1.9,2.6642,2.04938,0.04043,0.5,0.0354,0.01148,2.90946,6.33645,4.7369,0.00144636,0.00144636,0.00144636
15,355.229,1.48164,1.88655,1.69398,0.81658,0.5,0.56167,0.09682,2.42079,5.1596,3.98259,0.00153329,0.00153329,0.00153329
16,376.768,1.61338,2.00794,1.86254,0.80231,0.5,0.49543,0.09925,3.02879,5.45029,3.99288,0.00161785,0.00161785,0.00161785
17,398.611,1.4222,1.71252,1.67003,0.6305,0.5,0.49543,0.24771,2.93608,5.31203,4.79576,0.0016832,0.0016832,0.0016832
18,420.434,1.47397,1.687,1.72064,0.54223,1,0.82833,0.38929,1.45393,3.86762,3.34325,0.0016634,0.0016634,0.0016634
19,441.798,1.50861,1.72877,1.81636,0.48167,1,0.745,0.35517,1.3574,4.68774,3.05146,0.0016436,0.0016436,0.0016436
20,463.437,1.43017,1.71757,1.66835,0.88883,0.5,0.595,0.2183,2.16977,3.28384,4.37622,0.0016238,0.0016238,0.0016238
21,485.443,1.4293,1.65386,1.64103,0.60904,0.5,0.60611,0.23809,2.26826,3.5336,4.24414,0.001604,0.001604,0.001604
22,507.319,1.43671,1.71898,1.72919,0.47451,1,0.4975,0.15531,1.81206,4.55252,4.31296,0.0015842,0.0015842,0.0015842
23,531.63,1.31871,1.45233,1.55555,0.64124,0.92373,0.82833,0.35023,1.40313,4.36191,3.02932,0.0015644,0.0015644,0.0015644
24,554.497,1.40608,1.63886,1.60376,0.07121,0.5,0.0552,0.01993,3.33079,12.2195,4.62266,0.0015446,0.0015446,0.0015446
25,576.263,1.39234,1.56889,1.68582,0.29709,0.5,0.18674,0.0725,2.54768,4.79087,3.8376,0.0015248,0.0015248,0.0015248
26,598.709,1.31632,1.58408,1.58675,0.0325,0.5,0.02105,0.00683,3.85329,7.38028,6.16531,0.001505,0.001505,0.001505
27,620.754,1.47954,1.70026,1.72533,0.08865,0.5,0.04992,0.00998,3.73665,6.43898,4.79718,0.0014852,0.0014852,0.0014852
28,642.515,1.34387,1.34755,1.57808,0.07351,0.5,0.04992,0.00998,4.17627,3.97125,4.79428,0.0014654,0.0014654,0.0014654
29,664.044,1.38045,1.53772,1.63329,0.10967,0.5,0.09639,0.03856,2.76911,3.2687,3.4175,0.0014456,0.0014456,0.0014456
30,685.563,1.28162,1.5279,1.56955,1,0.86895,0.995,0.32329,2.72059,3.69349,4.20397,0.0014258,0.0014258,0.0014258
31,706.947,1.24293,1.38784,1.55164,0.63801,1,0.82833,0.27336,2.47663,2.80237,4.02823,0.001406,0.001406,0.001406
32,728.225,1.32248,1.42374,1.52947,0.66221,1,0.82833,0.38195,2.40484,2.87106,4.14899,0.0013862,0.0013862,0.0013862
33,749.493,1.31507,1.30233,1.53499,0.65417,1,0.82833,0.43118,2.37746,4.23695,4.38962,0.0013664,0.0013664,0.0013664
34,771.103,1.31765,1.38124,1.53131,0.29597,0.5,0.29,0.11654,2.79404,5.06316,4.35022,0.0013466,0.0013466,0.0013466
35,792.887,1.24453,1.27444,1.48034,0.43562,1,0.4975,0.16683,2.83938,3.55555,4.57513,0.0013268,0.0013268,0.0013268
36,814.455,1.5919,1.80059,1.78465,0.66089,1,0.66333,0.24866,1.91948,2.2453,3.05806,0.001307,0.001307,0.001307
37,836.19,1.29571,1.45326,1.5746,0.33147,1,0.4475,0.2337,1.78312,2.3869,2.88277,0.0012872,0.0012872,0.0012872
38,858.185,1.42118,1.3648,1.63404,0.27382,1,0.33167,0.15755,1.63427,2.73357,2.1109,0.0012674,0.0012674,0.0012674
39,879.926,1.43802,1.42298,1.67908,0.38402,1,0.398,0.21889,1.43484,2.50641,1.96413,0.0012476,0.0012476,0.0012476
40,901.536,1.24048,1.31309,1.53944,0.40224,0.5,0.24795,0.09958,2.53115,2.76417,3.31162,0.0012278,0.0012278,0.0012278
41,923.064,1.31827,1.20771,1.53303,0.44787,0.5,0.24795,0.07438,3.14828,3.69869,4.25702,0.001208,0.001208,0.001208
42,944.833,1.27076,1.59468,1.57258,0.31136,0.5,0.16542,0.01654,4.1622,3.92936,6.67139,0.0011882,0.0011882,0.0011882
43,966.397,1.17807,1.16256,1.44015,0.32245,0.5,0.16542,0.01654,4.26682,3.42165,7.16115,0.0011684,0.0011684,0.0011684
44,987.942,1.20106,1.25296,1.45807,0,0,0,0,4.52077,3.09238,7.08616,0.0011486,0.0011486,0.0011486
45,1009.31,1.19235,1.18932,1.60124,0.00167,0.5,0.00256,0.00051,3.59545,3.28002,4.83847,0.0011288,0.0011288,0.0011288
46,1030.84,1.04197,1.212,1.44492,0.65056,0.95168,0.66333,0.13507,2.93355,3.07846,4.84535,0.001109,0.001109,0.001109
47,1052.52,1.34715,1.8201,1.59903,0.46039,0.5,0.35861,0.08281,3.10572,3.56532,4.9403,0.0010892,0.0010892,0.0010892
48,1074.34,1.27819,1.26382,1.70405,0.18797,0.5,0.09948,0.0105,3.94419,3.02207,5.90215,0.0010694,0.0010694,0.0010694
49,1096.13,1.20734,1.23906,1.39241,0.2422,0.5,0.16549,0.01702,4.16675,3.01098,6.05497,0.0010496,0.0010496,0.0010496
50,1118.03,1.25232,1.29438,1.52844,0.55035,0.5,0.49546,0.04982,4.23146,3.16309,5.43544,0.0010298,0.0010298,0.0010298
51,1139.69,1.15029,1.14314,1.47378,0.73748,0.5,0.49549,0.0991,3.83813,2.39104,4.7257,0.00101,0.00101,0.00101
52,1161.35,1.09957,1.05851,1.36193,0.69669,0.5,0.695,0.25806,2.54473,2.80693,3.436,0.0009902,0.0009902,0.0009902
53,1183.07,1.15687,1.08385,1.42198,0.47662,0.5,0.695,0.32756,2.32359,2.15637,3.51634,0.0009704,0.0009704,0.0009704
54,1204.96,1.08533,1.04755,1.41944,0.62805,1,0.82833,0.36576,2.29791,1.68578,3.8442,0.0009506,0.0009506,0.0009506
55,1226.53,1.12586,1.09402,1.43682,0.62693,1,0.82833,0.3495,2.25511,1.67863,3.9394,0.0009308,0.0009308,0.0009308
56,1248.15,1.44347,1.37909,1.63569,0.94708,0.5,0.695,0.28097,2.31629,1.80359,3.64434,0.000911,0.000911,0.000911
57,1269.73,1.04625,1.07182,1.4125,1,0.97762,0.995,0.47243,1.94175,1.56117,3.34109,0.0008912,0.0008912,0.0008912
