epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7724,1.08547,2.12079,1.16876,0.52297,0.38554,0.39046,0.26466,1.11951,2.42541,1.39208,0.000369095,0.000369095,0.000369095
2,133.718,1.10797,1.74221,1.2195,0.60645,0.32838,0.40594,0.24847,1.26773,2.46731,1.57826,0.000702826,0.000702826,0.000702826
3,196.716,1.14394,1.6809,1.25142,0.72691,0.29019,0.33458,0.22616,1.37509,2.65781,1.67956,0.000999895,0.000999895,0.000999895
4,259.266,1.12721,1.58417,1.23606,0.67982,0.38952,0.47391,0.29838,1.14238,1.98042,1.3717,0.000946016,0.000946016,0.000946016
5,323.153,1.11409,1.50248,1.23516,0.59394,0.37814,0.3898,0.24897,1.18214,1.86508,1.42601,0.000891022,0.000891022,0.000891022
6,386.682,1.10313,1.41016,1.22438,0.72809,0.41871,0.45804,0.2941,1.14987,1.75844,1.43841,0.000836027,0.000836027,0.000836027
7,450.574,1.06535,1.41434,1.22442,0.54379,0.45693,0.52009,0.32832,1.14402,1.77148,1.42896,0.000781033,0.000781033,0.000781033
8,514.154,1.05105,1.29475,1.191,0.42249,0.44452,0.49049,0.33022,1.13719,1.6468,1.40066,0.000726038,0.000726038,0.000726038
9,576.724,1.02387,1.26599,1.18913,0.60342,0.52196,0.58893,0.35603,1.08518,1.5553,1.35619,0.000671044,0.000671044,0.000671044
10,639.407,1.01029,1.20554,1.17157,0.62402,0.50015,0.52167,0.34512,1.10081,1.52567,1.37633,0.000616049,0.000616049,0.000616049
11,700.943,0.98984,1.27465,1.20127,0.74183,0.49134,0.58771,0.39391,1.07762,1.45285,1.37051,0.000561055,0.000561055,0.000561055
12,762.498,0.97125,1.16833,1.17695,0.57203,0.58908,0.60058,0.39628,1.04809,1.39789,1.33693,0.00050606,0.00050606,0.00050606
13,826.961,0.9371,1.10985,1.16641,0.66265,0.55355,0.59434,0.41313,1.05537,1.35173,1.33067,0.000451066,0.000451066,0.000451066
14,891.242,0.9355,1.08828,1.16409,0.70023,0.48577,0.5804,0.42195,0.9965,1.3798,1.28203,0.000396071,0.000396071,0.000396071
15,954.895,0.89719,1.0274,1.12977,0.60138,0.6165,0.657,0.46576,1.0064,1.3386,1.26997,0.000341077,0.000341077,0.000341077
16,1017.8,0.88483,0.97699,1.12279,0.67776,0.61495,0.68854,0.48994,1.02783,1.2673,1.27874,0.000286083,0.000286083,0.000286083
17,1079.61,0.88202,0.95588,1.12057,0.56473,0.59765,0.62451,0.44012,1.02036,1.30052,1.29211,0.000231088,0.000231088,0.000231088
18,1141.69,0.85814,0.92023,1.09635,0.5891,0.63622,0.6356,0.45542,0.97705,1.30311,1.25187,0.000176094,0.000176094,0.000176094
19,1204.24,0.81589,0.86663,1.07457,0.63265,0.63193,0.65809,0.48046,0.96994,1.19834,1.24075,0.000121099,0.000121099,0.000121099
20,1265.85,0.83433,0.84323,1.08693,0.54776,0.71205,0.67589,0.49006,0.9452,1.19275,1.21498,6.61045e-05,6.61045e-05,6.61045e-05
